Feature,Target
0.10292247,0.10274086
0.23225206,0.2301697
0.29041806,0.2863528
0.32525796,0.31955324
0.48836057,0.46917873
0.6974693,0.64228004
0.7799726,0.70325994
0.7800932,0.70334567
0.85262062,0.75300739
0.90912484,0.78896631
0.91702255,0.7937943
0.99836891,0.84058858
1.06169555,0.87318314
1.4561457,0.99343481
1.46072324,0.99394807
1.52121121,0.99877091
1.52306885,1.99886126
1.83180922,0.96612909
1.87270059,0.95477201
2.15972509,0.83153619
2.20076247,0.80804746
2.28034992,0.75865278
2.57117219,0.53998599
2.62378216,0.49497885
2.96207284,0.17855712
2.99329242,0.14775724
3.00557506,0.13559858
3.03772426,0.10368173
3.05926447,0.08223521
3.42116513,-0.27594475
3.54036289,-0.38828536
3.65996971,-2.49547106
3.92587981,-0.70632074
4.04198674,-0.78357182
4.1622132,-1.85243263
4.33088073,-0.92810414
4.74442769,-0.9994868
4.75357153,-0.99915212
4.82816017,-2.993306
4.84954926,-0.99060827